cluster,n_frames,sum_weight,pop_fraction,bound_fraction
0,6296,1.2021300305319178,0.10545000267823845,6.716777538577067e-10
1,5348,1.1111967876886948,0.09747340242883291,3.972747633620284e-08
2,8552,1.0586437604990167,0.09286348776307167,0.0
3,3640,1.7234540830992655,0.15118018272800582,7.428074800927993e-07
4,14023,0.9568773796060009,0.08393661224614048,5.122794300296344e-06
5,13526,1.1195374338420478,0.09820503805632003,0.0
6,16683,1.8306600324112368,0.16058421336940681,8.237452536892596e-08
7,5639,0.25253967595841886,0.022152603154247278,0.0
8,9691,1.5942657848664417,0.1398478758654774,5.811999104850368e-06
9,19142,0.5506950314969558,0.0483065817102593,0.06118567310516344
