time_ns,ligand_rmsd,backbone_rmsd,d_y133,d_e130,d_d135
0.16,2.3498791709164674e-06,1.823774123129873e-06,3.019263025210592,9.700110992856228,6.276873248974662
0.17,1.0319964581841679,0.7996090040629135,3.4910774429942033,7.640794647910612,5.418970750606579
0.18,1.7307456862287625,0.879887772529015,3.3983222963786766,7.284054363295437,4.776034303611344
0.19,1.7793385419085077,0.9775668653083193,3.279766957662387,7.002995080780055,4.127714823037714
0.2,1.479817357475974,1.214484343250122,3.157685201942135,7.297773857711599,4.985175498039126
0.21,3.312632247656614,1.3984454849279495,3.0603974690006672,7.016758090401321,5.4009380375710245
0.22,2.9961537492942254,1.5296048173252756,2.597400993996242,6.9865829093306475,5.380548091283232
0.23,3.1540477083584793,1.5194145054882515,3.433266231743878,9.016700796096092,4.454715160721586
0.24,2.635276656112056,1.5340195393665954,2.8022164693107205,8.704347129879826,5.708480032152462
0.25,1.8827089237349626,1.6632023737125787,2.8938390342366422,8.661550084052841,6.097736239830481
0.26,2.987760719149879,1.838761386829342,3.164076075883616,7.666717082280651,5.528867052368379
0.27,2.74499998491397,2.017120789164312,2.7044884038069754,6.287084891109954,5.878837221809906
0.28,3.328167261592714,2.1200041052266574,2.096647742544444,4.132026433676162,5.6153716397742555
0.29,4.09835487373705,2.284878418044638,2.190561095195677,4.6590892977742255,5.377170742422673
0.3,3.5011748622512395,2.2646125611931702,2.4632914934603876,5.012439860751565,5.270659259420679
0.31,2.829817331867959,2.284379688758037,2.734742224431779,5.4147762310305145,5.704797889558266
0.32,2.9511738831958922,2.332482048175724,2.1312689300960295,6.13448314808371,5.272306143342796
0.33,2.6247207999194795,2.3826373622434986,2.2243410058201323,5.512113974959125,5.24196995528335
0.34,2.4988518241988547,2.564844712611396,2.5334410348916117,5.576633793116515,4.758893025474071
0.35,3.49645651257145,2.4498246686089558,2.6172957636444814,6.188299196382285,5.8057735347717925
0.36,3.8639098067853297,2.370439955260654,2.491583394966364,5.426302499661592,6.314683215106368
0.37,4.842991577907099,2.4839967278628943,2.5310008601986542,3.3788130872458977,6.536051511545116
0.38,4.233154199576433,2.5573674588488666,2.174528643295002,3.3112482078161514,6.391478971837302
0.39,4.450245488570038,2.667280276354836,2.50778438033354,3.0951967311727864,6.961030131267233
0.4,4.34064580511136,2.7612914224159955,2.306704292814336,3.7367933970149028,7.45393175070567
0.41,4.183172242566315,2.8541665546922976,2.2624737653533864,2.949378044632537,7.105758609426616
0.42,3.888615988431433,3.097615262581833,2.2123682667503535,3.3725779169733627,7.81448057166104
0.43,4.1323463784968215,3.3465767440611836,2.194825383940935,2.428148639383762,7.97536273471249
0.44,4.700739994747785,3.2256726001938913,2.2622044942639703,2.331462898654383,7.661076810936338
0.45,4.544564083150625,3.210632822109581,2.0894064700838677,3.4762363448096836,7.091332172999806
0.46,4.11180569675993,3.190704540617428,2.4459644957427917,3.7640288898608096,7.29558142889989
0.47,4.373979771087011,2.952547150069511,2.588574643988782,4.799296105022872,5.704339748115965
0.48,4.15775434944539,3.091179245317971,2.500871733011597,5.13055466964473,6.749791389848909
0.49,4.85525451444798,3.2290074408337595,3.295936985842491,4.638240215035219,5.769233266169237
0.5,5.210090232785591,3.0959448575463226,2.663811933491237,5.240245882430271,5.60175698357248
0.51,4.872735845690194,3.1405587486417743,2.7100484278106287,7.8771302710887285,5.547978306900113
0.52,5.712336644286379,3.487646871928637,2.2886775966243165,6.233802192341499,5.05188855862593
0.53,5.859441987152271,3.5041458348496306,2.6358717147845345,6.046232943365782,5.152795924316503
0.54,5.276202313293695,3.4943053519947735,2.3190483128325834,5.664931458923179,5.529330567281429
0.55,5.919823168894016,3.6116793226904766,2.7611987891376475,5.270119875268501,5.740936779061263
0.56,5.84502656217948,3.684055231527169,2.4183975263905846,4.870285196427032,5.635173642292546
0.57,6.276012873393328,3.4564575806864557,2.498241383838926,3.4053117985441066,6.076260868190221
