id,smiles,score_1xq8,plif_1xq8,score_we_mean,plif_we_mean,SC1,SC2,SC3,SC4,score_c09,plif_c09,SC2_c09,SC4_c09
23,CN1CCCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-3.596,0.0,-3.4906402,0.3591711196639433,3.596,3.4906402,3.596,4.56815355899183,-3.665,0.39325374148609216,3.665,4.844761224458276
24,CN1CCCN(S(=O)(=O)c2sc3ccccc3c2Cl)CC1,-3.77,0.0,-3.5142589,0.3222332668494441,3.77,3.5142589,3.77,4.4809587005483325,-3.693,0.46508484483168044,3.693,5.088254534495041
25,CN1CCN(S(=O)(=O)C2=CC=NC3(Cl)C=CC=C23)CC1,-5.498,0.0,-4.650527500000001,0.2705571000126502,5.498,4.650527500000001,5.498,5.462198800037951,-4.981,0.3119681220751542,4.981,5.916904366225462
26,CN1CCN(S(=O)(=O)c2cccc3cnccc23)CC1,-4.611,0.0,-4.7278222,0.2385055269467972,4.611,4.7278222,4.611,5.443338780840392,-4.916,0.3496264635505143,4.916,5.964879390651543
27,CN1CCN(S(=O)(=O)c2ccnc3c(Cl)cccc23)CC1,-5.075,0.0,-4.8728987,0.2738011162415014,5.075,4.8728987,5.075,5.694302048724504,-5.054,0.4095942669158418,5.054,6.282782800747526
28,CN1CCN(S(=O)(=O)c2ccnc3ccc(Cl)cc23)CC1,-5.035,0.0169609591860428,-4.9004673,0.2809643095205098,5.035,4.9004673,5.085882877558129,5.74336022856153,-4.928,0.4095942669158418,4.928,6.156782800747525
29,CN1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.004,0.0,-4.748963799999999,0.2439046716671534,5.004,4.748963799999999,5.004,5.48067781500146,-4.79,0.3547968480340349,4.79,5.854390544102104
30,CN1CCN(S(=O)(=O)c2cnc3ccccc3c2)CC1,-5.232,0.0,-4.8250735,0.2189171711275469,5.232,4.8250735,5.232,5.481825013382641,-4.826,0.3496264635505143,4.826,5.874879390651543
31,COc1cc2c(S(=O)(=O)N3CCCN(C)CC3)ccnc2cn1,-3.376,0.0,-3.3879651,0.2550792577725125,3.376,3.3879651,3.376,4.153202873317538,-3.63,0.32830864750490374,3.63,4.614925942514711
32,COc1ccc(S(=O)(=O)N2CCNCC2)cc1,-4.778,0.0013507978422093,-4.295128199999999,0.1969352453151712,4.778,4.295128199999999,4.782052393526628,4.885933935945513,-4.397,0.31293143120110456,4.397,5.335794293603314
33,COc1ccc2nccc(S(=O)(=O)N3CC[C@H](N)C3)c2c1,-4.861,0.0,-4.795115900000001,0.2217824032402918,4.861,4.795115900000001,4.861,5.460463109720877,-4.974,0.23834472016708563,4.974,5.689034160501257
34,C[C@@H]1CN(S(=O)(=O)c2ccnc3ccccc23)C[C@H](C)N1,-5.258,0.0,-5.020088199999999,0.2465424788571487,5.258,5.020088199999999,5.258,5.759715636571445,-5.151,0.01010052793874765,5.151,5.181301583816243
35,C[C@@H]1CNC[C@H](C)N1S(=O)(=O)c1ccnc2ccccc12,-5.159,0.0,-4.9777282000000005,0.225046394328925,5.159,4.9777282000000005,5.159,5.652867382986775,-5.233,0.3547968480340349,5.233,6.297390544102104
36,C[C@H]1CN(S(=O)(=O)c2ccnc3ccccc23)[C@@H](C)CN1,-5.252,0.0,-4.995779500000001,0.2196211498178329,5.252,4.995779500000001,5.252,5.6546429494535,-5.159,0.10408889992076147,5.159,5.4712666997622845
37,C[C@H]1CNCCN1S(=O)(=O)c1ccnc2ccccc12,-5.08,0.0,-4.767640299999999,0.2133612298580397,5.08,4.767640299999999,5.08,5.407723989574119,-4.908,0.4095942669158418,4.908,6.136782800747525
38,C[C@H]1[C@H](N)CCN1S(=O)(=O)c1ccnc2ccccc12,-5.078,0.0097543506103297,-4.732569800000001,0.1679316563489789,5.078,4.732569800000001,5.10726305183099,5.236364769046938,-4.823,0.39325374148609216,4.823,6.002761224458277
39,C[N+]1(C)CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-4.851,0.0,-4.6821004,0.2416387123408011,4.851,4.6821004,4.851,5.407016537022404,-4.795,0.4095942669158418,4.795,6.023782800747526
40,Cc1c(S(=O)(=O)N2CCNCC2)sc2ccccc12,-5.185,0.0,-4.8707242,0.2645809266289313,5.185,4.8707242,5.185,5.664466979886794,-4.997,0.34962646355051413,4.997,6.0458793906515425
41,Cc1cc(F)ccc1S(=O)(=O)N1CCCNCC1,-3.623,0.0,-3.3271052,0.1922148600435557,3.623,3.3271052,3.623,3.903749780130667,-3.373,0.4844101046632691,3.373,4.826230313989807
42,Cc1cc(S(=O)(=O)N2CCNCC2)c2ccccc2n1,-5.01,0.0,-4.991291200000001,0.3010296347363779,5.01,4.991291200000001,5.01,5.894380104209135,-5.052,0.311968122075154,5.052,5.987904366225462
43,Cc1ccc2c(S(=O)(=O)N3C[C@H]4CN[C@H]4C3)ccnc2c1,-5.741,0.0,-5.1990645,0.2141110856582775,5.741,5.1990645,5.741,5.841397756974832,-5.452,0.11507488363747664,5.452,5.79722465091243
44,Cn1ccc2cc(S(=O)(=O)N3CCNCC3)ccc21,-4.88,0.0,-4.8540796,0.2413443035292943,4.88,4.8540796,4.88,5.578112510587884,-4.904,0.1411377393890049,4.904,5.327413218167015
45,N#Cc1ccc2c(S(=O)(=O)N3CCCNC3)ccnc2c1,-5.469,0.0,-5.169050400000001,0.2485591790699019,5.469,5.169050400000001,5.469,5.914727937209706,-5.221,0.3283086475049037,5.221,6.205925942514711
46,N#Cc1ccc2c(S(=O)(=O)N3C[C@H]4CNC[C@H]4C3)ccnc2c1,-5.436,0.0,-5.4007525,0.2330409283410414,5.436,5.4007525,5.436,6.099875285023124,-5.637,0.025443497639221786,5.637,5.713330492917665
47,N=C(N)N1CCCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-3.965,0.0219804885087416,-3.7968732,0.1932625446266942,3.965,3.7968732,4.030941465526225,4.3766608338800825,-3.637,0.010100527938747649,3.637,3.667301583816243
48,N=C(N)N1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.777,0.0,-5.2234151,0.1961136993454814,5.777,5.2234151,5.777,5.811756198036444,-5.158,0.4095942669158416,5.158,6.386782800747525
49,NC1CCN(S(=O)(=O)c2ccc(Cl)nc2)CC1,-4.929,0.0,-4.4217559,0.2221346209634319,4.929,4.4217559,4.929,5.088159762890296,-4.523,0.17417421434973976,4.523,5.045522643049219
50,NC1CCN(S(=O)(=O)c2cccc3ccccc23)CC1,-5.341,0.0,-5.180797200000001,0.2415706904588488,5.341,5.180797200000001,5.341,5.905509271376547,-5.127,0.008481165879740595,5.127,5.152443497639221
51,NC1CCN(S(=O)(=O)c2cccnc2)CC1,-4.697,0.0,-4.2026698,0.1232546205478331,4.697,4.2026698,4.697,4.572433661643499,-4.378,0.4095942669158416,4.378,5.606782800747525
52,NC1CCN(S(=O)(=O)c2ccnc3ccccc23)C1,-4.916,0.0,-4.742877000000001,0.2119798158325626,4.916,4.742877000000001,4.916,5.378816447497689,-4.79,0.3129314312011044,4.79,5.728794293603313
