id,smiles,score_1xq8,winner_var_1xq8,plif_1xq8,score_receptor_01,winner_var_receptor_01,plif_receptor_01,score_receptor_02,winner_var_receptor_02,plif_receptor_02,score_receptor_03,winner_var_receptor_03,plif_receptor_03,score_receptor_04,winner_var_receptor_04,plif_receptor_04,score_receptor_05,winner_var_receptor_05,plif_receptor_05,score_receptor_06,winner_var_receptor_06,plif_receptor_06,score_receptor_07,winner_var_receptor_07,plif_receptor_07,score_receptor_08,winner_var_receptor_08,plif_receptor_08,score_receptor_09,winner_var_receptor_09,plif_receptor_09,score_receptor_10,winner_var_receptor_10,plif_receptor_10,score_we_mean,plif_we_mean,SC1,SC2,SC3,SC4
10,O=S(=O)(c1ccnc2ccccc12)N1CCC1,-4.465,0,0.0,-4.513,0,0.07179272660723157,-4.85,0,0.3318937543511865,-4.156,0,0.27023158120058327,-4.85,0,0.4844101046632693,-4.154,0,0.27757635757956844,-4.259,0,0.44575958500009144,-4.059,0,0.16839390242018937,-4.192,0,0.22586050243666447,-4.328,0,0.18273554373872286,-4.427,0,0.0,-4.3631196,0.2619446812435903,4.465,4.3631196,4.465,5.148953643730771
11,O=S(=O)(c1ccnc2ccccc12)N1CCC2(CCNCC2)C1,-5.632,1,0.0,-5.486,1,0.0,-6.035,0,0.24308094742570194,-5.225,0,0.27023158120058327,-5.343,0,0.35479684803403483,-5.306,1,0.1668104612756761,-5.628,0,0.1668104612756761,-4.851,0,0.2560771669766011,-5.499,0,0.19085564714450065,-5.246,0,0.18797674396402764,-5.119,0,0.30410675398087944,-5.3845035999999995,0.18668221042584304,5.632,5.3845035999999995,5.632,5.944550231277528
12,O=S(=O)(c1ccnc2ccccc12)N1CCCC(N2CCNCC2)C1,-5.761,2,0.0,-5.722,1,0.018440569252355186,-6.116,3,0.2799033214771972,-5.473,3,0.124366195298808,-5.825,3,0.23834472016708558,-5.566,1,0.34798721018903767,-5.821,2,0.1726350157999752,-5.087,2,0.09811392445143384,-5.54,2,0.22586050243666447,-5.797,3,0.09023329585958677,-5.994,3,0.007851751801524339,-5.658975400000001,0.16870448093958382,5.761,5.658975400000001,5.761,6.1650888428187525
13,O=S(=O)(c1ccnc2ccccc12)N1CCCC1,-4.729,0,0.0,-4.791,0,0.07179272660723157,-5.028,0,0.1928360716774705,-4.352,0,0.27023158120058327,-5.294,0,0.35479684803403483,-4.576,0,0.27023158120058327,-4.53,0,0.32648801958607043,-4.246,0,0.2560771669766011,-4.384,0,0.35965441028732176,-4.831,0,0.1668104612756761,-4.614,0,0.0,-4.6707744,0.2306893984691221,4.729,4.6707744,4.729,5.362842595407367
14,O=S(=O)(c1ccnc2ccccc12)N1CCCCC1,-4.904,0,0.0,-4.664,0,0.0,-5.549,0,0.29686428066324005,-4.573,0,0.23834472016708558,-5.14,0,0.31196812207515406,-4.379,0,0.23834472016708558,-4.682,0,0.3769132160563425,-4.297,0,0.27023158120058327,-4.581,0,0.22586050243666447,-4.693,0,0.1668104612756761,-4.516,0,0.23834472016708558,-4.6933156,0.22860814259316015,4.904,4.6933156,4.904,5.3791400277794805
15,O=S(=O)(c1ccnc2ccccc12)N1CCCNC(CO)C1,-3.819,1,0.0,-4.058,0,0.007851751801524339,-4.37,1,0.26852320352850206,-3.695,1,0.2133762847062433,-3.651,0,0.2687367410049923,-3.654,0,0.4751127915684878,-3.817,0,0.15759017664949848,-2.998,1,0.39718863834447005,-3.804,0,0.1726350157999752,-3.577,0,0.24967952183112735,-3.905,1,0.012484217730421139,-3.7206959000000004,0.2538878941560457,3.819,3.7206959000000004,3.819,4.4823595824681375
16,O=S(=O)(c1ccnc2ccccc12)N1CCCNCCC1,-3.477,0,0.03227530111987651,-3.451,0,0.0786466438179614,-3.924,1,0.3194095366207654,-3.244,1,0.3303012037189253,-3.432,1,0.22586050243666447,-3.244,1,0.35479684803403483,-3.475,1,0.2133762847062433,-3.119,0,0.23834472016708558,-3.646,0,0.18797674396402764,-3.217,1,0.34962646355051424,-3.562,1,0.022333160944409854,-3.3823540000000003,0.25324064746390773,3.477,3.3823540000000003,3.5738259033596296,4.142075942391724
17,O=S(=O)(c1ccnc2ccccc12)N1CCNCC1,-5.219,0,0.0012425148500565144,-4.992,1,0.0,-5.592,1,0.24308094742570194,-4.851,1,0.21318880808891047,-5.547,1,0.36895126225801705,-4.328,1,0.36895126225801705,-5.046,1,0.34798721018903767,-4.537,1,0.21318880808891047,-4.699,1,0.3289264367461041,-4.791,0,0.18273554373872286,-4.557,0,0.20202222761670557,-4.895111100000001,0.23684736579053367,5.219,4.895111100000001,5.22272754455017,5.605653197371602
18,O=S(=O)(c1ccnc2ccccc12)N1CCOCC1,-4.807,0,0.0,-5.064,0,0.0786466438179614,-5.068,0,0.4180734242513167,-4.357,0,0.27023158120058327,-4.858,0,0.4095942669158417,-4.412,0,0.31196812207515406,-4.614,0,0.44575958500009144,-4.171,0,0.184734427849939,-4.373,0,0.24192275275261885,-4.736,0,0.20202222761670557,-4.811,0,0.0,-4.6502168,0.27659034924375486,4.807,4.6502168,4.807,5.479987847731264
19,O=S(=O)(c1cnc2ccccc2c1)N1CCCNCC1,-3.743,1,0.0,-3.478,1,0.08694734397922892,-3.825,1,0.34064243381005255,-3.403,0,0.3769132160563425,-3.644,0,0.3769132160563425,-3.233,0,0.17982720514366088,-3.673,0,0.32648801958607043,-3.268,0,0.40173289882156704,-3.576,0,0.24192275275261885,-3.777,1,0.21318880808891047,-3.414,0,0.36895172338210314,-3.5152922,0.2707997146123906,3.743,3.5152922,3.743,4.327691343837172
