cand_id,receptor,energy,tanimoto,n_contacts,status
55,receptor_01,-5.139,0.008481165879740597,10,ok
55,receptor_02,-5.526,0.3129314312011045,10,ok
55,receptor_03,-4.649,0.16191972552446152,13,ok
55,receptor_04,-4.975,0.40959426691584166,8,ok
55,receptor_05,-4.484,0.1668104612756761,11,ok
55,receptor_06,-4.675,0.20781660633054352,9,ok
55,receptor_07,-4.533,0.17603074590185364,12,ok
55,receptor_08,-4.981,0.17159490008453385,11,ok
55,receptor_09,-4.624,0.009220284626177593,9,ok
55,receptor_10,-4.674,0.16191972552446152,13,ok
56,1xq8,-4.68,0.0,11,ok
56,receptor_01,-4.544,0.01696233175948119,11,ok
56,receptor_02,-4.758,0.22351952800557537,13,ok
56,receptor_03,-3.952,0.018440569252355186,10,ok
49,receptor_01,-4.489,0.0,8,ok
49,receptor_02,-4.974,0.35479684803403483,9,ok
49,receptor_03,-4.331,0.31196812207515406,7,ok
49,receptor_04,-4.556,0.28438599542456555,9,ok
49,receptor_05,-4.173,0.2131888080889105,10,ok
49,receptor_06,-4.624,0.1726350157999752,9,ok
49,receptor_07,-3.954,0.31196812207515406,7,ok
49,receptor_08,-4.78,0.23233860785632537,8,ok
49,receptor_09,-4.449,0.27757635757956844,8,ok
49,receptor_10,-4.13,0.12217541623892292,8,ok
50,1xq8,-5.341,0.0,8,ok
50,receptor_01,-5.405,0.0,8,ok
50,receptor_02,-5.649,0.28569770019103513,11,ok
50,receptor_03,-4.771,0.31196812207515406,7,ok
50,receptor_04,-5.362,0.31196812207515406,7,ok
50,receptor_05,-4.917,0.2702315812005833,8,ok
50,receptor_06,-5.557,0.19075601496218159,7,ok
50,receptor_07,-4.71,0.47511279156848785,6,ok
50,receptor_08,-5.334,0.18797674396402766,10,ok
50,receptor_09,-5.059,0.19075601496218159,7,ok
1,receptor_09,-4.625,0.25607716697660104,7,ok
1,receptor_10,-5.255,0.1928360716774705,11,ok
2,1xq8,-4.292,0.0,11,ok
2,receptor_01,-3.85,0.0869473439792289,7,ok
2,receptor_02,-4.185,0.3194095366207653,10,ok
2,receptor_03,-3.855,0.22586050243666442,8,ok
2,receptor_04,-3.915,0.35479684803403483,9,ok
2,receptor_05,-3.608,0.2131888080889105,10,ok
2,receptor_06,-4.105,0.20331847212808005,11,ok
2,receptor_07,-3.384,0.31196812207515406,7,ok
2,receptor_08,-3.689,0.19085564714450062,8,ok
2,receptor_09,-3.629,0.25607716697660104,7,ok
2,receptor_10,-3.359,0.0,8,ok
3,1xq8,-5.139,0.0,7,ok
3,receptor_01,-5.089,0.0,7,ok
3,receptor_02,-5.533,0.25318147536444957,12,ok
3,receptor_03,-4.86,0.2702315812005833,8,ok
3,receptor_04,-5.32,0.31293143120110445,10,ok
3,receptor_05,-4.898,0.2702315812005833,8,ok
3,receptor_06,-5.278,0.20202222761670555,9,ok
32,receptor_08,-4.208,0.08694734397922892,7,ok
32,receptor_09,-4.295,0.19283607167747044,11,ok
32,receptor_10,-4.157,0.23834472016708552,9,ok
33,1xq8,-4.861,0.0,8,ok
33,receptor_01,-4.99,0.08101301123340916,10,ok
33,receptor_02,-5.239,0.31293143120110456,10,ok
33,receptor_03,-4.377,0.19085564714450065,8,ok
33,receptor_04,-4.741,0.24308094742570194,11,ok
33,receptor_05,-4.72,0.34064243381005255,8,ok
33,receptor_06,-5.242,0.10390830316527176,8,ok
33,receptor_07,-4.138,0.36214162441301995,9,ok
33,receptor_08,-4.991,0.2133762847062433,7,ok
33,receptor_09,-4.774,0.15343855964472092,12,ok
33,receptor_10,-4.598,0.06603766022429398,10,ok
34,1xq8,-5.258,0.0,10,ok
34,receptor_01,-5.245,0.06603766022429398,10,ok
34,receptor_02,-5.464,0.29686428066323994,12,ok
34,receptor_03,-5.099,0.018440569252355182,10,ok
34,receptor_04,-5.312,0.3689517233821031,6,ok
34,receptor_05,-4.627,0.4017328988215671,7,ok
29,receptor_01,-5.106,0.0,8,ok
29,receptor_02,-5.549,0.243080947425702,11,ok
29,receptor_03,-4.431,0.2702315812005834,8,ok
29,receptor_04,-5.112,0.3119681220751541,7,ok
29,receptor_05,-4.374,0.29562759664540444,6,ok
29,receptor_06,-4.814,0.5453773437325409,4,ok
29,receptor_07,-4.193,0.16001980012575756,7,ok
29,receptor_08,-4.696,0.23594414598879124,11,ok
29,receptor_09,-4.627,0.18273554373872286,10,ok
29,receptor_10,-4.544,0.0,7,ok
30,1xq8,-5.232,0.0,9,ok
30,receptor_01,-4.907,0.0,7,ok
30,receptor_02,-5.74,0.37629603863700223,10,ok
30,receptor_03,-4.551,0.2702315812005834,8,ok
30,receptor_04,-5.192,0.3689517233821032,6,ok
30,receptor_05,-4.616,0.184734427849939,6,ok
30,receptor_06,-4.93,0.20202222761670557,9,ok
30,receptor_07,-4.28,0.24192275275261885,6,ok
30,receptor_08,-4.671,0.23233860785632535,8,ok
30,receptor_09,-4.67,0.29562759664540444,6,ok
10,receptor_10,-4.946,0.19283607167747044,11,ok
11,1xq8,-5.278,0.01400472343503534,9,ok
11,receptor_01,-5.109,0.0,9,ok
11,receptor_02,-5.107,0.35479684803403483,9,ok
11,receptor_03,-4.654,0.311968122075154,7,ok
11,receptor_04,-5.054,0.21318880808891044,10,ok
11,receptor_05,-4.748,0.22586050243666442,8,ok
11,receptor_06,-5.006,0.1543337756689929,9,ok
11,receptor_07,-4.244,0.27023158120058327,8,ok
11,receptor_08,-4.978,0.1578394670813727,12,ok
11,receptor_09,-4.588,0.3264880195860704,7,ok
